Sheet,Category,Field A,Field B,Field C,Field D,Field E,Field F,Field G,Field H,Field I,Field J
INSTRUCTIONS,How to use,Import this CSV into Google Sheets,Each Sheet column groups rows into a logical tab,Rename actual tabs by Sheet value,All data is fictional and anonymized,No real prices — use USD-A/B/C labels,Factory A/B/C are placeholders,,,,
,,,,,,,,,,,,
WF3_Inspection,Header,PO,Product,Factory,Inspection Date,Qty Inspected,AQL Standard,Defect Name,Defect Type,Major / Minor,Qty Found,Defect Rate %
WF3_Inspection,Data,PO-1002,Baby Sleeping Bag Style-004,Factory A,10/06/2026,200,AQL 2.5 Level II,Open seam — back neckline,Stitching,Major,6,3.0%
WF3_Inspection,Data,PO-1002,Baby Sleeping Bag Style-004,Factory A,10/06/2026,200,AQL 2.5 Level II,Pilling on outer fabric,Surface finish,Major,4,2.0%
WF3_Inspection,Data,PO-1002,Baby Sleeping Bag Style-004,Factory A,10/06/2026,200,AQL 2.5 Level II,Zipper stiff / uneven,Zipper function,Minor,3,1.5%
WF3_Inspection,Data,PO-1002,Baby Sleeping Bag Style-004,Factory A,10/06/2026,200,AQL 2.5 Level II,Care label misaligned >10mm,Label position,Major,4,2.0%
WF3_Inspection,Data,PO-1002,Baby Sleeping Bag Style-004,Factory A,10/06/2026,200,AQL 2.5 Level II,Body length short 2cm (spec 70cm),Dimensional tolerance,Major,2,1.0%
WF3_Inspection,Data,PO-1002,Baby Sleeping Bag Style-004,Factory A,10/06/2026,200,AQL 2.5 Level II,Uneven wadding filling — chest area,Filling defect,Major,1,0.5%
WF3_Inspection,Summary,,,,,Total Major,17,Total Minor,3,,RESULT: FAIL (Major > AQL accept 5)
WF3_Inspection,Packaging Notes,Cartons checked: 20,Missing lot number on box label: 8/20,No suffocation warning on inner poly bag: 20/20 — SAFETY CRITICAL,Missing hang tag: 12/20,,,,,,,
,,,,,,,,,,,,
WF4_CAPA,Header,Factory,Product,Defect Type,Month,Qty Inspected,Defects Found,Defect Rate %,3-Month Trend,CAPA Status,Redbug Assessment
WF4_CAPA,Data,Factory A,Baby Carrier Cover Style-001,Open seam,April 2026,600,8,1.3%,Baseline,Accepted,Minor issue
WF4_CAPA,Data,Factory A,Baby Carrier Cover Style-001,Open seam,May 2026,580,14,2.4%,Rising,CAPA Submitted,Insufficient — vague root cause
WF4_CAPA,Data,Factory A,Baby Sleeping Bag Style-004,Open seam,June 2026,200,17,8.5%,Rising fast — FAIL,CAPA Submitted,REJECTED — requires 5 Whys
WF4_CAPA,Factory A CAPA Text,Submitted CAPA (11/06/2026): Root Cause: Workers were not careful enough when sewing the neckline area.,Corrective Action: Reminded sewing workers to be more careful.,Preventive Action: Added QC check before packing.,Timeline: Immediate.,Redbug Assessment: INSUFFICIENT — 'worker carelessness' is a symptom not a root cause. Systemic issue suspected. 5 Whys required.,,,,,,
WF4_CAPA,Risk Summary,Factory A,Open seam rate 8.5% (threshold 3.0%). 3 consecutive months rising. 2 CAPA submissions both insufficient.,RISK LEVEL: HIGH,Recommended action: formal CAPA rejection + 5 Whys requirement + increased inspection frequency,,,,,,
,,,,,,,,,,,,
WF5_SampleTracker,Header,Style,Product,Factory,Sample Type,Due Date,Status,Days Overdue / Remaining,Notes,Risk Level,,
WF5_SampleTracker,Data,Style-001,Baby Carrier Cover,Factory A,Prototype,05/06/2026,OVERDUE,-7 days,Fabric supplier delay — new fabric ETA 14/06,HIGH,,
WF5_SampleTracker,Data,Style-002,Swaddle Blanket,Factory A,Size Set,08/06/2026,OVERDUE,-4 days,PP comment seam issue unresolved,MEDIUM,,
WF5_SampleTracker,Data,Style-003,Toddler Backpack,Factory B,Prototype,10/06/2026,Submitted OK,0,Awaiting Customer Y review,LOW,,
